about,address,firstTag,image,latitude,longitude,name,overallrate,rate,secondTag,duration(hour),open,close,price,egyptian and arab,egyptian and arab student,foreigner,foreigner student,Type,Closeoropen
,"1 El Emam St., | ,El Fustat,, ,Cairo 11511, ,Egypt",Museums,https://media-cdn.tripadvisor.com/media/photo-s/0e/8e/1f/58/plates-and-tiles.jpg,30.007196,31.235327,Foustat Traditional Crafts Center,"
7 reviews",4.5,,0.45,9,18,12,1.33,0.66,13.33,3.33,modern age ,close
,"Al Fustat Street,, ,Cairo 11511, ,Egypt",Museums,https://media-cdn.tripadvisor.com/media/photo-s/0e/7c/46/2f/national-museum-of-egyptian.jpg,30.007747,31.248562,National Museum of Egyptian Civilization NEMC,22 reviews,4,,2,9,17,17,1.33,0.66,13.33,3.33,pharaonic,close
,"Cairo, ,Egypt",Museums,https://media-cdn.tripadvisor.com/media/photo-s/0e/9e/33/b4/the-october-war-panorama.jpg,30.074827,31.306326,October War Panorama,"
22 reviews",4,,1.5,9,17,16,1.33,0.66,13.33,3.33,modern age ,close
"This complex comprises an ethnographic museum, debating chamber and a small historical library.","Kasr El Aini Street, | ,El Shura Council Compound,, ,Cairo 11511, ,Egypt",Museums,https://media-cdn.tripadvisor.com/media/photo-s/09/cf/c4/65/national-geographic-society.jpg,30.03399,31.23344,National Geographic Society Museum,"
18 reviews",4.5,,1,9,17,20,1.33,0.66,13.33,3.33,science,close
"This famous museum houses the world’s largest collection of ancient Egyption artifacts (more than 120,000 items on display) featuring the famous Tutankhamun collection with its beautiful gold death mask and sarcophagus and the royal Mummy room...","Midan El Tahrir, | ,Geographical Society Building,, ,Cairo 11511, ,Egypt",Museums,https://media-cdn.tripadvisor.com/media/photo-s/11/43/31/ea/egyptian-antiquities.jpg,30.046997,31.233677,The Museum of Egyptian Antiquities,"12,037 reviews",4.5,,1.5,9,17,6,1.33,0.66,13.33,3.33,pharaonic,close
,"1 El Malek El Saleh St., | ,Manial El Roda,, ,Cairo 11511, ,Egypt",Museums,https://media-cdn.tripadvisor.com/media/photo-s/07/de/3b/66/photo3jpg.jpg,30.086,31.24571,Umm Kolthoum Museum,34 reviews,4,,0.45,9,17,20,1.33,0.66,13.33,3.33,modern age ,close
,"Pyramids Rd,, ,Giza, ,Egypt",Museums,https://media-cdn.tripadvisor.com/media/photo-s/13/1c/b0/69/bow-of-the-solar-boat.jpg,29.978056,31.1345,Khufu Ship,810 reviews,4.5,,0.3,9,18,19,1.33,0.66,13.33,3.33,pharaonic,close
"Formerly serving as a royal palace until the end of the monarchy in 1952, this history museum features a large collection of weapons and medals including knives, guns, cannons and an exhibit of medals.","Moustafa Abdel Raziq Street, | ,off Abdeen Square,, ,Cairo 11511, ,Egypt",Museums,https://media-cdn.tripadvisor.com/media/photo-s/01/11/4c/d9/the-garden-outside-the.jpg,30.042871,31.247547,Abdeen Palace Museum,67 reviews,4,,2,9,17,20.5,1.33,0.66,13.33,3.33,modern age ,close
,"121 El Muez St., | ,Behind Wekalet Sobhy Zakaria,, ,Cairo 11511, ,Egypt",Museums,https://media-cdn.tripadvisor.com/media/photo-s/0b/ea/49/b1/textile-museum-in-cairo.jpg,30.13671,31.33172,Egyptian Textile Museum,19 reviews,4.5,,1,9,17,9.5,1.33,0.66,13.33,3.33,art,close
,"Al Nasr Road, | ,Nasr City,, ,Cairo 11511, ,Egypt",Museums,https://media-cdn.tripadvisor.com/media/photo-s/16/bf/c3/4f/photo1jpg.jpg,30.065,31.3139,Unknown Soldier Memorial,"
31 reviews",4,,0.45,9,23,25,0,0,0,0,modern age ,open
